intervalstarttime_gmt,intervalendtime_gmt,opr_dt,opr_hr,node,lmp_type,mw
2021-07-07T16:00:00Z,2021-07-07T17:00:00Z,2021-07-07,10,IRONMTN_2_N001,LMP,32.30205
2021-07-08T05:00:00Z,2021-07-08T06:00:00Z,2021-07-07,23,IRONMTN_2_N001,LMP,52.65686
2021-07-07T15:00:00Z,2021-07-07T16:00:00Z,2021-07-07,9,IRONMTN_2_N001,LMP,32.92054
2021-07-07T18:00:00Z,2021-07-07T19:00:00Z,2021-07-07,12,IRONMTN_2_N001,LMP,36.25422
2021-07-08T03:00:00Z,2021-07-08T04:00:00Z,2021-07-07,21,IRONMTN_2_N001,LMP,78.82915
2021-07-08T04:00:00Z,2021-07-08T05:00:00Z,2021-07-07,22,IRONMTN_2_N001,LMP,66.74305
2021-07-07T22:00:00Z,2021-07-07T23:00:00Z,2021-07-07,16,IRONMTN_2_N001,LMP,54.68843
2021-07-07T07:00:00Z,2021-07-07T08:00:00Z,2021-07-07,1,IRONMTN_2_N001,LMP,34.87972
2021-07-08T00:00:00Z,2021-07-08T01:00:00Z,2021-07-07,18,IRONMTN_2_N001,LMP,63.08615
2021-07-07T10:00:00Z,2021-07-07T11:00:00Z,2021-07-07,4,IRONMTN_2_N001,LMP,33.64198
2021-07-07T13:00:00Z,2021-07-07T14:00:00Z,2021-07-07,7,IRONMTN_2_N001,LMP,46.55577
2021-07-07T17:00:00Z,2021-07-07T18:00:00Z,2021-07-07,11,IRONMTN_2_N001,LMP,33.91666
2021-07-07T20:00:00Z,2021-07-07T21:00:00Z,2021-07-07,14,IRONMTN_2_N001,LMP,42.5784
2021-07-07T08:00:00Z,2021-07-07T09:00:00Z,2021-07-07,2,IRONMTN_2_N001,LMP,35.32839
2021-07-08T06:00:00Z,2021-07-08T07:00:00Z,2021-07-07,24,IRONMTN_2_N001,LMP,44.59881
2021-07-07T21:00:00Z,2021-07-07T22:00:00Z,2021-07-07,15,IRONMTN_2_N001,LMP,46.17924
2021-07-08T01:00:00Z,2021-07-08T02:00:00Z,2021-07-07,19,IRONMTN_2_N001,LMP,82.44467
2021-07-07T11:00:00Z,2021-07-07T12:00:00Z,2021-07-07,5,IRONMTN_2_N001,LMP,33.87589
2021-07-07T14:00:00Z,2021-07-07T15:00:00Z,2021-07-07,8,IRONMTN_2_N001,LMP,34.6761
2021-07-07T19:00:00Z,2021-07-07T20:00:00Z,2021-07-07,13,IRONMTN_2_N001,LMP,39.39733
2021-07-08T02:00:00Z,2021-07-08T03:00:00Z,2021-07-07,20,IRONMTN_2_N001,LMP,116.99576
2021-07-07T12:00:00Z,2021-07-07T13:00:00Z,2021-07-07,6,IRONMTN_2_N001,LMP,36.25323
2021-07-09T05:00:00Z,2021-07-09T06:00:00Z,2021-07-08,23,IRONMTN_2_N001,LMP,62.5617
2021-07-09T03:00:00Z,2021-07-09T04:00:00Z,2021-07-08,21,IRONMTN_2_N001,LMP,101.10349
2021-07-08T19:00:00Z,2021-07-08T20:00:00Z,2021-07-08,13,IRONMTN_2_N001,LMP,49.36543
2021-07-08T23:00:00Z,2021-07-09T00:00:00Z,2021-07-08,17,IRONMTN_2_N001,LMP,79.46606
2021-07-08T10:00:00Z,2021-07-08T11:00:00Z,2021-07-08,4,IRONMTN_2_N001,LMP,39.25404
2021-07-08T20:00:00Z,2021-07-08T21:00:00Z,2021-07-08,14,IRONMTN_2_N001,LMP,56.6717
2021-07-08T22:00:00Z,2021-07-08T23:00:00Z,2021-07-08,16,IRONMTN_2_N001,LMP,76.97037
2021-07-08T11:00:00Z,2021-07-08T12:00:00Z,2021-07-08,5,IRONMTN_2_N001,LMP,39.56969
2021-07-08T21:00:00Z,2021-07-08T22:00:00Z,2021-07-08,15,IRONMTN_2_N001,LMP,66.1951
2021-07-09T02:00:00Z,2021-07-09T03:00:00Z,2021-07-08,20,IRONMTN_2_N001,LMP,138.31023
2021-07-08T09:00:00Z,2021-07-08T10:00:00Z,2021-07-08,3,IRONMTN_2_N001,LMP,39.72345
2021-07-09T00:00:00Z,2021-07-09T01:00:00Z,2021-07-08,18,IRONMTN_2_N001,LMP,88.10047
2021-07-08T13:00:00Z,2021-07-08T14:00:00Z,2021-07-08,7,IRONMTN_2_N001,LMP,46.60067
2021-07-08T14:00:00Z,2021-07-08T15:00:00Z,2021-07-08,8,IRONMTN_2_N001,LMP,39.85022
2021-07-08T18:00:00Z,2021-07-08T19:00:00Z,2021-07-08,12,IRONMTN_2_N001,LMP,43.81632
2021-07-09T01:00:00Z,2021-07-09T02:00:00Z,2021-07-08,19,IRONMTN_2_N001,LMP,142.18951
2021-07-09T04:00:00Z,2021-07-09T05:00:00Z,2021-07-08,22,IRONMTN_2_N001,LMP,81.08366
2021-07-08T12:00:00Z,2021-07-08T13:00:00Z,2021-07-08,6,IRONMTN_2_N001,LMP,41.55974
2021-07-08T15:00:00Z,2021-07-08T16:00:00Z,2021-07-08,9,IRONMTN_2_N001,LMP,37.19411
2021-07-08T16:00:00Z,2021-07-08T17:00:00Z,2021-07-08,10,IRONMTN_2_N001,LMP,38.36146
2021-07-08T17:00:00Z,2021-07-08T18:00:00Z,2021-07-08,11,IRONMTN_2_N001,LMP,38.96012
2021-07-08T07:00:00Z,2021-07-08T08:00:00Z,2021-07-08,1,IRONMTN_2_N001,LMP,45.57194
2021-07-08T08:00:00Z,2021-07-08T09:00:00Z,2021-07-08,2,IRONMTN_2_N001,LMP,41.06121
2021-07-09T06:00:00Z,2021-07-09T07:00:00Z,2021-07-08,24,IRONMTN_2_N001,LMP,54.88898
2021-07-09T22:00:00Z,2021-07-09T23:00:00Z,2021-07-09,16,IRONMTN_2_N001,LMP,87.19174
2021-07-09T19:00:00Z,2021-07-09T20:00:00Z,2021-07-09,13,IRONMTN_2_N001,LMP,67.19425
2021-07-09T09:00:00Z,2021-07-09T10:00:00Z,2021-07-09,3,IRONMTN_2_N001,LMP,48.24586
2021-07-09T23:00:00Z,2021-07-10T00:00:00Z,2021-07-09,17,IRONMTN_2_N001,LMP,93.20975
2021-07-09T10:00:00Z,2021-07-09T11:00:00Z,2021-07-09,4,IRONMTN_2_N001,LMP,46.33854
2021-07-10T04:00:00Z,2021-07-10T05:00:00Z,2021-07-09,22,IRONMTN_2_N001,LMP,95.61769
2021-07-10T03:00:00Z,2021-07-10T04:00:00Z,2021-07-09,21,IRONMTN_2_N001,LMP,140.98386
2021-07-09T08:00:00Z,2021-07-09T09:00:00Z,2021-07-09,2,IRONMTN_2_N001,LMP,49.63421
2021-07-10T01:00:00Z,2021-07-10T02:00:00Z,2021-07-09,19,IRONMTN_2_N001,LMP,192.20177
